,Sentence #,Word,POS,Tag
111,,divided,VBN,O
112,,over,IN,O
113,,Britain,NNP,B-gpe
114,,'s,POS,O
115,,participation,NN,O
116,,in,IN,O
117,,the,DT,O
118,,Iraq,NNP,B-geo
119,,conflict,NN,O
120,,and,CC,O
121,,the,DT,O
122,,continued,JJ,O
123,,deployment,NN,O
124,,of,IN,O
125,,"8,500",CD,O
126,,British,JJ,B-gpe
127,,troops,NNS,O
128,,in,IN,O
129,,that,DT,O
130,,country,NN,O
131,,.,.,O
132,Sentence: 7,The,DT,O
133,,London,NNP,B-geo
134,,march,NN,O
135,,came,VBD,O
136,,ahead,RB,O
137,,of,IN,O
138,,anti-war,JJ,O
139,,protests,NNS,O
140,,today,NN,O
141,,in,IN,O
142,,other,JJ,O
143,,cities,NNS,O
144,,",",",",O
145,,including,VBG,O
146,,Rome,NNP,B-geo
147,,",",",",O
148,,Paris,NNP,B-geo
149,,",",",",O
150,,and,CC,O
151,,Madrid,NNP,B-geo
152,,.,.,O
153,Sentence: 8,The,DT,O
154,,International,NNP,B-org
155,,Atomic,NNP,I-org
156,,Energy,NNP,I-org
157,,Agency,NNP,I-org
158,,is,VBZ,O
159,,to,TO,O
160,,hold,VB,O
161,,second,JJ,O
162,,day,NN,O
163,,of,IN,O
164,,talks,NNS,O
165,,in,IN,O
166,,Vienna,NNP,B-geo
167,,Wednesday,NNP,B-tim
168,,on,IN,O
169,,how,WRB,O
170,,to,TO,O
171,,respond,VB,O
172,,to,TO,O
173,,Iran,NNP,B-gpe
174,,'s,POS,O
175,,resumption,NN,O
176,,of,IN,O
177,,low-level,JJ,O
178,,uranium,NN,O
179,,conversion,NN,O
180,,.,.,O
181,Sentence: 9,Iran,NNP,B-gpe
182,,this,DT,O
183,,week,NN,O
184,,restarted,VBD,O
185,,parts,NNS,O
186,,of,IN,O
187,,the,DT,O
188,,conversion,NN,O
189,,process,NN,O
190,,at,IN,O
191,,its,PRP$,O
192,,Isfahan,NNP,B-geo
193,,nuclear,JJ,O
194,,plant,NN,O
195,,.,.,O
196,Sentence: 10,Iranian,JJ,B-gpe
197,,officials,NNS,O
198,,say,VBP,O
199,,they,PRP,O
200,,expect,VBP,O
201,,to,TO,O
202,,get,VB,O
203,,access,NN,O
204,,to,TO,O
205,,sealed,JJ,O
206,,sensitive,JJ,O
207,,parts,NNS,O
208,,of,IN,O
209,,the,DT,O
210,,plant,NN,O
211,,Wednesday,NNP,B-tim
212,,",",",",O
213,,after,IN,O
214,,an,DT,O
215,,IAEA,NNP,B-org
216,,surveillance,NN,O
217,,system,NN,O
218,,begins,VBZ,O
219,,functioning,VBG,O
220,,.,.,O
221,Sentence: 11,The,DT,O
222,,step,NN,O
223,,will,MD,O
224,,allow,VB,O
225,,the,DT,O
226,,facility,NN,O
227,,to,TO,O
228,,operate,VB,O
229,,at,IN,O
230,,full,JJ,O
231,,capacity,NN,O
232,,.,.,O
233,Sentence: 12,The,DT,O
234,,European,NNP,B-org
235,,Union,NNP,I-org
236,,",",",",O
237,,with,IN,O
238,,U.S.,NNP,B-gpe
239,,backing,NN,O
240,,",",",",O
241,,has,VBZ,O
242,,threatened,VBN,O
243,,to,TO,O
244,,refer,VB,O
245,,Iran,NNP,B-gpe
246,,to,TO,O
247,,the,DT,O
248,,U.N.,NNP,B-org
249,,Security,NNP,I-org
250,,Council,NNP,I-org
251,,",",",",O
252,,which,WDT,O
253,,could,MD,O
254,,impose,VB,O
255,,sanctions,NNS,O
256,,if,IN,O
257,,it,PRP,O
258,,finds,VBZ,O
259,,Tehran,NNP,B-gpe
260,,has,VBZ,O
261,,violated,VBN,O
262,,the,DT,O
263,,Nuclear,NNP,B-art
264,,Non-Proliferation,NNP,I-art
265,,treaty,NN,O
266,,.,.,O
267,Sentence: 13,Iran,NNP,B-gpe
268,,'s,POS,O
269,,new,JJ,O
270,,President,NNP,B-per
271,,Mahmoud,NNP,I-per
272,,Ahmadinejad,NNP,I-per
273,,said,VBD,O
274,,Tuesday,NNP,B-tim
275,,that,IN,O
276,,European,JJ,B-gpe
277,,incentives,NNS,O
278,,aimed,VBN,O
279,,at,IN,O
280,,persuading,VBG,O
281,,Iran,NNP,B-gpe
282,,to,TO,O
283,,end,VB,O
284,,its,PRP$,O
285,,nuclear,JJ,O
286,,fuel,NN,O
287,,program,NN,O
288,,are,VBP,O
289,,an,DT,O
290,,insult,NN,O
291,,to,TO,O
292,,the,DT,O
293,,Iranian,JJ,B-gpe
294,,nation,NN,O
295,,.,.,O
296,Sentence: 14,Two,CD,O
297,,Germans,NNS,B-gpe
298,,and,CC,O
299,,four,CD,O
300,,Nigerian,JJ,B-gpe
301,,oil,NN,O
302,,workers,NNS,O
303,,were,VBD,O
304,,kidnapped,VBN,O
305,,by,IN,O
306,,armed,JJ,O
307,,militants,NNS,O
308,,during,IN,O
309,,a,DT,O
310,,raid,NN,O
311,,on,IN,O
312,,a,DT,O
313,,boat,NN,O
314,,in,IN,O
315,,Nigeria,NNP,B-geo
316,,'s,POS,O
317,,southern,JJ,O
318,,oil-rich,JJ,O
319,,Delta,NNP,B-geo
320,,region,NN,O
321,,.,.,O
322,Sentence: 15,An,DT,O
323,,official,NN,O
324,,with,IN,O
325,,the,DT,O
326,,German,JJ,B-gpe
327,,firm,NN,O
328,,Bilfinger,NNP,B-org
329,,Berger,NNP,I-org
330,,",",",",O
331,,Thomas,NNP,B-per
332,,Horbach,NNP,I-per
333,,",",",",O
334,,said,VBD,O
335,,the,DT,O
336,,gunmen,NNS,O
337,,stopped,VBD,O
338,,the,DT,O
339,,supply,NN,O
340,,boat,NN,O
341,,Wednesday,NNP,B-tim
342,,as,IN,O
343,,it,PRP,O
344,,sailed,VBD,O
345,,from,IN,O
346,,Delta,NNP,B-geo
347,,State,NNP,I-geo
348,,to,TO,O
349,,Bayelsa,NNP,B-geo
350,,State,NNP,I-geo
351,,to,TO,O
352,,inspect,VB,O
353,,an,DT,O
354,,offshore,JJ,O
355,,oil,NN,O
356,,field,NN,O
357,,owned,VBN,O
358,,by,IN,O
359,,Royal-Dutch,NNP,B-org
360,,Shell,NNP,I-org
361,,.,.,O
362,Sentence: 16,The,DT,O
363,,German,JJ,B-gpe
364,,firm,NN,O
365,,works,VBZ,O
366,,as,IN,O
367,,a,DT,O
368,,sub-contractor,NN,O
369,,for,IN,O
370,,Shell,NNP,B-org
371,,.,.,O
372,Sentence: 17,Militant,JJ,O
373,,groups,NNS,O
374,,frequently,RB,O
375,,attack,VBP,O
376,,oil,NN,O
377,,operations,NNS,O
378,,in,IN,O
379,,the,DT,O
380,,Niger,NNP,B-geo
381,,Delta,NNP,I-geo
382,,to,TO,O
383,,demand,VB,O
384,,social,JJ,O
385,,services,NNS,O
386,,and,CC,O
387,,better,JJR,O
388,,job,NN,O
389,,opportunities,NNS,O
390,,from,IN,O
391,,multinational,JJ,O
392,,companies,NNS,O
393,,.,.,O
394,Sentence: 18,Poor,JJ,O
395,,residents,NNS,O
396,,often,RB,O
397,,complain,VBP,O
398,,they,PRP,O
399,,have,VBP,O
400,,been,VBN,O
401,,cheated,VBN,O
402,,out,IN,O
403,,of,IN,O
404,,the,DT,O
405,,huge,JJ,O
406,,riches,NNS,O
407,,extracted,VBN,O
408,,from,IN,O
409,,their,PRP$,O
410,,tribal,JJ,O
411,,lands,NNS,O
412,,-,:,O
413,,where,WRB,O
414,,the,DT,O
415,,bulk,NN,O
416,,of,IN,O
417,,Nigeria,NNP,B-gpe
418,,'s,POS,O
419,,2.3,CD,O
420,,million,CD,O
421,,barrels,NNS,O
422,,of,IN,O
423,,petroleum,NN,O
424,,are,VBP,O
425,,pumped,VBN,O
426,,daily,RB,O
427,,.,.,O
428,Sentence: 19,Suspected,JJ,O
429,,Islamist,JJ,O
430,,rebels,NNS,O
431,,have,VBP,O
432,,fired,VBN,O
433,,mortar,NN,O
434,,shells,NNS,O
435,,at,IN,O
436,,the,DT,O
437,,palace,NN,O
438,,used,VBN,O
439,,by,IN,O
440,,Somalia,NNP,B-geo
441,,'s,POS,O
442,,interim,JJ,O
443,,President,NNP,B-per
444,,Abdullahi,NNP,I-per
445,,Yusuf,NNP,I-per
446,,Ahmad,NNP,I-per
447,,.,.,O
448,Sentence: 20,It,PRP,O
449,,was,VBD,O
450,,not,RB,O
451,,immediately,RB,O
452,,clear,JJ,O
453,,if,IN,O
454,,the,DT,O
455,,president,NN,O
456,,was,VBD,O
457,,in,IN,O
458,,the,DT,O
459,,palace,NN,O
460,,in,IN,O
461,,Mogadishu,NNP,B-geo
462,,when,WRB,O
463,,the,DT,O
464,,attack,NN,O
465,,occurred,VBD,O
466,,or,CC,O
467,,if,IN,O
468,,anyone,DT,O
469,,was,VBD,O
470,,hurt,VBN,O
471,,.,.,O
472,Sentence: 21,Local,JJ,O
473,,news,NN,O
474,,reports,NNS,O
475,,said,VBD,O
476,,at,IN,O
477,,least,JJS,O
478,,five,CD,O
479,,mortar,NN,O
480,,shells,NNS,O
481,,hit,VBD,O
482,,the,DT,O
483,,palace,NN,O
484,,compound,NN,O
485,,and,CC,O
486,,other,JJ,O
487,,mortars,NNS,O
488,,were,VBD,O
489,,fired,VBN,O
490,,elsewhere,RB,O
491,,in,IN,O
492,,Mogadishu,NNP,B-geo
493,,Wednesday,NNP,B-tim
494,,.,.,O
495,Sentence: 22,The,DT,O
496,,attacks,NNS,O
497,,occurred,VBD,O
498,,after,IN,O
499,,the,DT,O
500,,government,NN,O
501,,said,VBD,O
502,,it,PRP,O
503,,will,MD,O
504,,go,VB,O
505,,ahead,RB,O
506,,with,IN,O
507,,a,DT,O
508,,reconciliation,NN,O
509,,conference,NN,O
510,,to,TO,O
511,,which,WDT,O
512,,more,JJR,O
513,,than,IN,O
514,,"1,300",CD,O
515,,Somali,JJ,B-gpe
516,,elders,NNS,O
517,,",",",",O
518,,warlords,NNS,O
519,,and,CC,O
520,,politicians,NNS,O
521,,are,VBP,O
522,,invited,VBN,O
523,,.,.,O
524,Sentence: 23,Iraqi,JJ,B-gpe
525,,military,JJ,O
526,,officials,NNS,O
527,,say,VBP,O
528,,tanks,NNS,O
529,,and,CC,O
530,,troops,NNS,O
531,,have,VBP,O
532,,arrived,VBN,O
533,,in,IN,O
534,,the,DT,O
535,,northern,JJ,O
536,,city,NN,O
537,,Mosul,NNP,B-geo
538,,for,IN,O
539,,a,DT,O
540,,new,JJ,O
541,,offensive,NN,O
542,,against,IN,O
543,,al,NNP,B-org
544,,Qaida,NNP,I-org
545,,in,IN,I-org
546,,Iraq,NNP,I-org
547,,fighters,NNS,O
548,,.,.,O
549,Sentence: 24,Officials,NNS,O
550,,will,MD,O
551,,not,RB,O
552,,say,VB,O
553,,how,WRB,O
554,,many,JJ,O
555,,troops,NNS,O
556,,have,VBP,O
557,,arrived,VBN,O
558,,in,IN,O
559,,the,DT,O
560,,Sunni,NNP,B-geo
561,,Arab,NNP,I-geo
562,,and,CC,O
563,,Kurdish,NNP,B-geo
564,,city,NN,O
565,,",",",",O
566,,where,WRB,O
567,,bombings,NNS,O
568,,last,JJ,O
569,,week,NN,O
570,,killed,VBD,O
571,,at,IN,O
572,,least,JJS,O
573,,34,CD,O
574,,people,NNS,O
575,,and,CC,O
576,,wounded,VBD,O
577,,more,JJR,O
578,,than,IN,O
579,,200,CD,O
580,,.,.,O
581,Sentence: 25,U.S.,NNP,B-gpe
582,,commanders,NNS,O
583,,have,VBP,O
584,,not,RB,O
585,,explained,VBN,O
586,,how,WRB,O
587,,American,JJ,B-gpe
588,,forces,NNS,O
589,,will,MD,O
590,,participate,VB,O
591,,in,IN,O
592,,the,DT,O
593,,offensive,NN,O
594,,.,.,O
595,Sentence: 26,Officials,NNS,O
596,,say,VBP,O
597,,al,NNP,B-org
598,,Qaida,NNP,I-org
599,,in,IN,I-org
600,,Iraq,NNP,I-org
601,,fighters,NNS,O
602,,have,VBP,O
603,,fled,VBN,O
604,,successful,JJ,O
605,,campaigns,NNS,O
606,,against,IN,O
607,,them,PRP,O
608,,in,IN,O
609,,Anbar,NNP,B-geo
610,,province,NN,O
611,,and,CC,O
612,,Baghdad,NNP,B-geo
613,,to,TO,O
614,,other,JJ,O
615,,northern,JJ,O
616,,provinces,NNS,O
617,,.,.,O
618,Sentence: 27,Mosul,NNP,B-geo
619,,is,VBZ,O
620,,the,DT,O
621,,largest,JJS,O
622,,city,NN,O
623,,north,NN,O
624,,of,IN,O
625,,Baghdad,NNP,B-geo
626,,and,CC,O
627,,has,VBZ,O
628,,long,RB,O
629,,been,VBN,O
630,,a,DT,O
631,,stronghold,NN,O
632,,of,IN,O
633,,Sunni,NNP,B-org
634,,militant,JJ,O
635,,fighters,NNS,O
636,,.,.,O
637,Sentence: 28,In,IN,O
638,,other,JJ,O
639,,violence,NN,O
640,,",",",",O
641,,U.S.,NNP,B-gpe
642,,officials,NNS,O
643,,said,VBD,O
644,,one,CD,O
645,,American,JJ,B-gpe
646,,soldier,NN,O
647,,was,VBD,O
648,,killed,VBN,O
649,,while,IN,O
650,,on,IN,O
651,,patrol,NN,O
652,,in,IN,O
653,,Baghdad,NNP,B-geo
654,,Sunday,NNP,B-tim
655,,.,.,O
656,Sentence: 29,Egyptian,JJ,B-gpe
657,,police,NNS,O
658,,have,VBP,O
659,,arrested,VBN,O
660,,at,IN,O
661,,least,JJS,O
662,,16,CD,O
663,,members,NNS,O
664,,of,IN,O
665,,the,DT,O
666,,opposition,NN,O
667,,Muslim,NNP,B-org
668,,Brotherhood,NNP,I-org
669,,as,IN,O
670,,parts,NNS,O
671,,of,IN,O
672,,the,DT,O
673,,country,NN,O
674,,prepare,VB,O
675,,for,IN,O
676,,parliamentary,JJ,O
677,,runoff,NN,O
678,,elections,NNS,O
679,,Saturday,NNP,B-tim
680,,.,.,O
681,Sentence: 30,The,DT,O
682,,arrests,NNS,O
683,,occurred,VBD,O
684,,Friday,NNP,B-tim
685,,in,IN,O
686,,Alexandria,NNP,B-geo
687,,.,.,O
688,Sentence: 31,A,DT,O
689,,spokesman,NN,O
690,,for,IN,O
691,,the,DT,O
692,,Brotherhood,NNP,B-org
693,,said,VBD,O
694,,the,DT,O
695,,arrests,NNS,O
696,,are,VBP,O
697,,an,DT,O
698,,attempt,NN,O
699,,to,TO,O
700,,cut,VB,O
701,,the,DT,O
702,,Brotherhood,NNP,B-org
703,,off,RB,O
704,,from,IN,O
705,,its,PRP$,O
706,,supporters,NNS,O
707,,and,CC,O
708,,punishment,NN,O
709,,for,IN,O
710,,winning,VBG,O
711,,parliamentary,JJ,O
712,,seats,NNS,O
713,,in,IN,O
714,,earlier,JJR,O
715,,elections,NNS,O
716,,.,.,O
717,Sentence: 32,The,DT,O
718,,Muslim,NNP,B-org
719,,Brotherhood,NNP,I-org
720,,has,VBZ,O
721,,tripled,VBN,O
722,,its,PRP$,O
723,,strength,NN,O
724,,in,IN,O
725,,parliament,NN,O
726,,in,IN,O
727,,recent,JJ,O
728,,elections,NNS,O
729,,",",",",O
730,,raising,VBG,O
731,,the,DT,O
732,,party,NN,O
733,,'s,POS,O
734,,total,NN,O
735,,to,TO,O
736,,47,CD,O
737,,seats,NNS,O
738,,.,.,O
739,Sentence: 33,In,IN,O
740,,Saturday,NNP,B-tim
741,,'s,POS,O
742,,elections,NNS,O
743,,",",",",O
744,,voters,NNS,O
745,,will,MD,O
746,,cast,VB,O
747,,ballots,NNS,O
748,,in,IN,O
749,,nine,CD,O
750,,provinces,NNS,O
751,,where,WRB,O
752,,no,DT,O
753,,candidate,NN,O
754,,won,VBD,O
755,,a,DT,O
756,,majority,NN,O
757,,in,IN,O
758,,the,DT,O
759,,previous,JJ,O
760,,round,NN,O
761,,of,IN,O
762,,voting,NN,O
763,,.,.,O
764,Sentence: 34,The,DT,O
765,,Muslim,NNP,B-org
766,,Brotherhood,NNP,I-org
767,,is,VBZ,O
768,,banned,VBN,O
769,,as,IN,O
770,,a,DT,O
771,,political,JJ,O
772,,party,NN,O
773,,",",",",O
774,,but,CC,O
775,,it,PRP,O
776,,endorses,VBZ,O
777,,so-called,JJ,O
778,,independent,JJ,O
779,,candidates,NNS,O
780,,whose,WP$,O
781,,allegiance,NN,O
782,,to,IN,O
783,,the,DT,O
784,,party,NN,O
785,,is,VBZ,O
786,,known,VBN,O
787,,to,TO,O
788,,voters,NNS,O
789,,.,.,O
790,Sentence: 35,Hardline,JJ,O
791,,lawmakers,NNS,O
792,,in,IN,O
793,,Pakistan,NNP,B-geo
794,,'s,POS,O
795,,North,NNP,B-geo
796,,West,NNP,I-geo
797,,Frontier,NNP,I-geo
798,,Province,NNP,I-geo
799,,have,VBP,O
800,,pushed,VBN,O
801,,through,IN,O
802,,a,DT,O
803,,law,NN,O
804,,that,WDT,O
805,,aims,VBZ,O
806,,to,TO,O
807,,ensure,VB,O
808,,"""",``,O
809,,Islamic,JJ,O
810,,correctness,NN,O
811,,"""",``,O
812,,in,IN,O
813,,public,JJ,O
814,,places,NNS,O
815,,and,CC,O
816,,establishes,VBZ,O
817,,a,DT,O
818,,morality,NN,O
819,,police,NN,O
820,,to,TO,O
821,,enforce,VB,O
822,,decent,JJ,O
823,,behavior,NN,O
824,,.,.,O
825,Sentence: 36,A,DT,O
826,,six-party,JJ,O
827,,coalition,NN,O
828,,of,IN,O
829,,religious,JJ,O
830,,based,VBN,O
831,,parties,NNS,O
832,,",",",",O
833,,the,DT,O
834,,Mutahida,NNP,B-org
835,,Majlis-e-Amal,NNP,I-org
836,,",",",",O
837,,dominates,VBZ,O
838,,the,DT,O
839,,provincial,JJ,O
840,,assembly,NN,O
841,,",",",",O
842,,so,IN,O
843,,the,DT,O
844,,bill,NN,O
845,,was,VBD,O
846,,easily,RB,O
847,,passed,VBN,O
848,,Thursday,NNP,B-tim
849,,by,IN,O
850,,a,DT,O
851,,vote,NN,O
852,,of,IN,O
853,,68-34,CD,O
854,,.,.,O
855,Sentence: 37,The,DT,O
856,,provincial,JJ,O
857,,governor,NN,O
858,,must,MD,O
859,,still,RB,O
860,,sign,VB,O
861,,the,DT,O
862,,bill,NN,O
863,,before,IN,O
864,,it,PRP,O
865,,becomes,VBZ,O
866,,law,NN,O
867,,",",",",O
868,,a,DT,O
869,,step,NN,O
870,,seen,VBN,O
871,,only,RB,O
872,,as,IN,O
873,,a,DT,O
874,,formality,NN,O
875,,.,.,O
876,Sentence: 38,The,DT,O
877,,proposed,JJ,O
878,,law,NN,O
879,,calls,VBZ,O
880,,for,IN,O
881,,setting,VBG,O
882,,up,RP,O
883,,a,DT,O
884,,"""",``,O
885,,religious,JJ,O
886,,police,NN,O
887,,force,NN,O
888,,"""",``,O
889,,to,TO,O
890,,make,VB,O
891,,sure,JJ,O
892,,people,NNS,O
893,,adhere,VBP,O
894,,to,TO,O
895,,Islamic,JJ,O
896,,values,NNS,O
897,,in,IN,O
898,,public,JJ,O
899,,places,NNS,O
900,,",",",",O
901,,and,CC,O
902,,entertainment,NN,O
903,,outlets,NNS,O
904,,close,RB,O
905,,during,IN,O
906,,weekly,JJ,O
907,,Friday,NNP,B-tim
908,,prayers,NNS,O
909,,.,.,O
910,Sentence: 39,Violators,NNS,O
911,,could,MD,O
912,,be,VB,O
913,,jailed,VBN,O
914,,for,IN,O
915,,up,RB,O
916,,to,TO,O
917,,six,CD,O
918,,months,NNS,O
919,,.,.,O
920,Sentence: 40,The,DT,O
921,,opposition,NN,O
922,,has,VBZ,O
923,,denounced,VBN,O
924,,the,DT,O
925,,measure,NN,O
926,,",",",",O
927,,comparing,VBG,O
928,,it,PRP,O
929,,to,TO,O
930,,the,DT,O
931,,draconian,JJ,O
932,,rule,NN,O
933,,of,IN,O
934,,the,DT,O
935,,former,JJ,O
936,,Taleban,NNP,B-org
937,,in,IN,O
938,,neighboring,VBG,O
939,,Afghanistan,NNP,B-geo
940,,.,.,O
941,Sentence: 41,British,JJ,B-gpe
942,,police,NNS,O
943,,say,VBP,O
944,,they,PRP,O
945,,have,VBP,O
946,,arrested,VBN,O
947,,a,DT,O
948,,man,NN,O
949,,who,WP,O
950,,dressed,VBD,O
951,,as,IN,O
952,,suicide,NN,O
953,,bomber,NN,O
954,,at,IN,O
955,,a,DT,O
956,,demonstration,NN,O
957,,against,IN,O
958,,the,DT,O
959,,publication,NN,O
960,,of,IN,O
961,,cartoons,NNS,O
962,,depicting,VBG,O
963,,Islam,NNP,B-org
964,,'s,POS,O
965,,Prophet,NNP,B-per
966,,Muhammad,NNP,I-per
967,,.,.,O
968,Sentence: 42,Bedfordshire,NNP,B-gpe
969,,police,NNS,O
970,,said,VBD,O
971,,Tuesday,NNP,B-tim
972,,that,IN,O
973,,Omar,NNP,B-per
974,,Khayam,NNP,I-per
975,,was,VBD,O
976,,arrested,VBN,O
977,,in,IN,O
978,,Bedford,NNP,B-geo
979,,for,IN,O
980,,breaching,VBG,O
981,,the,DT,O
982,,conditions,NNS,O
983,,of,IN,O
984,,his,PRP$,O
985,,parole,NN,O
986,,.,.,O
987,Sentence: 43,Police,NNS,O
988,,said,VBD,O
989,,the,DT,O
990,,British,NNP,B-org
991,,Home,NNP,I-org
992,,Office,NNP,I-org
993,,sought,VBD,O
994,,an,DT,O
995,,investigation,NN,O
996,,of,IN,O
997,,Khayam,NNP,B-per
998,,'s,POS,O
999,,behavior,NN,O
1000,,after,IN,O
1001,,he,PRP,O
1002,,was,VBD,O
1003,,photographed,VBN,O
1004,,last,JJ,O
1005,,week,NN,O
1006,,at,IN,O
1007,,a,DT,O
1008,,demonstration,NN,O
1009,,dressed,VBN,O
1010,,in,IN,O
1011,,fatigues,NNS,O
1012,,",",",",O
1013,,a,DT,O
1014,,black,JJ,O
1015,,cap,NN,O
1016,,",",",",O
1017,,and,CC,O
1018,,a,DT,O
1019,,bulky,JJ,O
1020,,belt,NN,O
1021,,.,.,O
1022,Sentence: 44,A,DT,O
1023,,Home,NNP,B-org
1024,,Office,NNP,I-org
1025,,spokesman,NN,O
1026,,told,VBD,O
1027,,the,DT,O
1028,,Associated,NNP,B-org
1029,,Press,NNP,I-org
1030,,that,IN,O
1031,,if,IN,O
1032,,the,DT,O
1033,,behavior,NN,O
1034,,of,IN,O
1035,,a,DT,O
1036,,paroled,JJ,O
1037,,offender,NN,O
1038,,gives,VBZ,O
1039,,cause,NN,O
1040,,for,IN,O
1041,,concern,NN,O
1042,,",",",",O
1043,,he,PRP,O
1044,,can,MD,O
1045,,be,VB,O
1046,,sent,VBN,O
1047,,back,RB,O
1048,,to,TO,O
1049,,prison,NN,O
1050,,.,.,O
1051,Sentence: 45,The,DT,O
1052,,AP,NNP,B-org
1053,,also,RB,O
1054,,reports,VBZ,O
1055,,Khayam,NNP,B-per
1056,,has,VBZ,O
1057,,been,VBN,O
1058,,on,IN,O
1059,,parole,NN,O
1060,,from,IN,O
1061,,prison,NN,O
1062,,since,IN,O
1063,,last,JJ,O
1064,,year,NN,O
1065,,after,IN,O
1066,,serving,VBG,O
1067,,half,PDT,O
1068,,his,PRP$,O
1069,,six-year,JJ,O
1070,,sentence,NN,O
1071,,for,IN,O
1072,,drug,NN,O
1073,,dealing,NN,O
1074,,.,.,O
1075,Sentence: 46,Pakistani,JJ,B-gpe
1076,,officials,NNS,O
1077,,say,VBP,O
1078,,unidentified,JJ,O
1079,,gunmen,NNS,O
1080,,have,VBP,O
1081,,killed,VBN,O
1082,,three,CD,O
1083,,people,NNS,O
1084,,",",",",O
1085,,including,VBG,O
1086,,a,DT,O
1087,,former,JJ,O
1088,,government,NN,O
1089,,minister,NN,O
1090,,",",",",O
1091,,in,IN,O
1092,,a,DT,O
1093,,semi-autonomous,JJ,O
1094,,tribal,JJ,O
1095,,region,NN,O
1096,,bordering,VBG,O
1097,,Afghanistan,NNP,B-geo
1098,,.,.,O
1099,Sentence: 47,The,DT,O
1100,,officials,NNS,O
1101,,say,VBP,O
1102,,prominent,JJ,O
1103,,tribal,JJ,O
1104,,leader,NN,O
1105,,Malik,NNP,B-per
1106,,Faridullah,NNP,I-per
1107,,Khan,NNP,I-per
1108,,was,VBD,O
1109,,traveling,VBG,O
1110,,in,IN,O
1111,,South,NNP,B-geo
1112,,Waziristan,NNP,I-geo
1113,,Sunday,NNP,B-tim
1114,,when,WRB,O
1115,,his,PRP$,O
1116,,vehicle,NN,O
1117,,was,VBD,O
1118,,ambushed,VBN,O
1119,,in,IN,O
1120,,the,DT,O
1121,,Kani,NNP,B-geo
1122,,Wam,NNP,I-geo
1123,,area,NN,O
1124,,.,.,O
1125,Sentence: 48,His,PRP$,O
1126,,driver,NN,O
1127,,and,CC,O
1128,,a,DT,O
1129,,tribal,JJ,O
1130,,elder,NN,O
1131,,were,VBD,O
1132,,also,RB,O
1133,,killed,VBN,O
1134,,.,.,O
1135,Sentence: 49,No,DT,O
1136,,one,NN,O
1137,,has,VBZ,O
1138,,claimed,VBN,O
1139,,responsibility,NN,O
1140,,for,IN,O
1141,,the,DT,O
1142,,killings,NNS,O
1143,,.,.,O
1144,Sentence: 50,The,DT,O
1145,,ambush,NN,O
1146,,came,VBD,O
1147,,a,DT,O
1148,,day,NN,O
1149,,after,IN,O
1150,,a,DT,O
